SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
AL,COLEGIO BATISTA ALAGOANO,PRIVADA,22,478.06,566.7,563.26,534.15,660.23,535.54,39.3,TRUE,27034798,AL,COLEGIO BATISTA ALAGOANO,private,566.7,478.06,534.15,563.26,535.54,56
AL,COLEGIO CENECISTA DE 1ª E 2ª GRAUS SANTANA,PRIVADA,22,476.86,543.62,500.28,513.36,601.25,508.53,73.3,TRUE,27007081,AL,COLEGIO CENECISTA DE 1ª E 2ª GRAUS SANTANA,private,543.62,476.86,513.36,500.28,508.53,30
AL,COLEGIO CENECISTA NOSSA SENHORA DA PENHA,PRIVADA,14,462.66,514.91,500.49,495.52,614.29,493.39,48.3,TRUE,27009190,AL,COLEGIO CENECISTA NOSSA SENHORA DA PENHA,private,514.91,462.66,495.52,500.49,493.39,29
AL,COLEGIO CENECISTA NOSSA SENHORA DO BOM CONSELHO,PRIVADA,68,500.59,555.66,509.74,525.95,633.21,522.99,52.3,TRUE,27016021,AL,COLEGIO CENECISTA NOSSA SENHORA DO BOM CONSELHO,private,555.66,500.59,525.95,509.74,522.99,130
AL,COLEGIO CENECISTA SANTO ANTONIO DE PADUA,PRIVADA,34,461.55,517.89,471.22,485.5,600.78,484.04,20.9,TRUE,27010775,AL,COLEGIO CENECISTA SANTO ANTONIO DE PADUA,private,517.89,461.55,485.5,471.22,484.04,163
AL,COLEGIO CONTATO MACEIO,PRIVADA,240,582.43,640.17,657.82,593.08,679.92,618.37,100,TRUE,27220885,AL,COLEGIO CONTATO MACEIO,private,640.17,582.43,593.08,657.82,618.37,240
AL,COLEGIO CRISTO REI,PRIVADA,27,554.74,614.66,586.96,583.5,660.19,584.96,44.3,TRUE,27215512,AL,COLEGIO CRISTO REI,private,614.66,554.74,583.5,586.96,584.96,61
AL,COLEGIO DE SAINT GERMAIN,PRIVADA,28,527.02,588.51,585.08,547.56,662.5,562.04,62.2,TRUE,27230317,AL,COLEGIO DE SAINT GERMAIN,private,588.51,527.02,547.56,585.08,562.04,45
AL,COLEGIO DE SAO JOSE,PRIVADA,28,550.27,590.11,586.46,579.49,668.52,576.58,58.3,TRUE,27034844,AL,COLEGIO DE SAO JOSE,private,590.11,550.27,579.49,586.46,576.58,48
AL,COLEGIO DINAMICO,PRIVADA,81,495.48,555.08,524.89,523.4,641.33,524.71,48.8,TRUE,27037380,AL,COLEGIO DINAMICO,private,555.08,495.48,523.4,524.89,524.71,166
AL,COLEGIO DIOCESANO DE PENEDO,PRIVADA,45,486.48,544.71,497.81,518.86,654.44,511.97,77.6,TRUE,27045137,AL,COLEGIO DIOCESANO DE PENEDO,private,544.71,486.48,518.86,497.81,511.97,58
AL,COLEGIO DIVINO MESTRE,PRIVADA,27,491.47,532.56,495.08,525.06,628.85,511.04,46.6,TRUE,27214427,AL,COLEGIO DIVINO MESTRE,private,532.56,491.47,525.06,495.08,511.04,58
AL,COLEGIO EDSON MONTEIRO,PRIVADA,12,507.96,562.51,545.13,543.35,633.33,539.74,30.8,TRUE,27230023,AL,COLEGIO EDSON MONTEIRO,private,562.51,507.96,543.35,545.13,539.74,39
AL,COLEGIO FANTASTICO,PRIVADA,33,452.91,499.58,462.55,496.16,610.61,477.8,50.8,TRUE,27216845,AL,COLEGIO FANTASTICO,private,499.58,452.91,496.16,462.55,477.8,65
