SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
PR,JOAO ZACCO PARANA C E E FUND MEDIO,PUBLICA,74,488.29,535.07,497.03,506.62,578.82,506.75,79.6,TRUE,41081340,PR,JOAO ZACCO PARANA C E E FUND MEDIO,public,535.07,488.29,506.62,497.03,506.75,93
PR,JOAQUIM A DE MOURA C E PROF EM PROF NOR,PUBLICA,23,486.87,529.5,491.78,505.72,554.35,503.47,11.6,TRUE,41048008,PR,JOAQUIM A DE MOURA C E PROF EM PROF NOR,public,529.5,486.87,505.72,491.78,503.47,198
PR,JOAQUIM DA S MAFRA C E PREF E FUN MED,PUBLICA,61,459.79,507.62,479.51,473.99,567.73,480.23,41.5,TRUE,41139658,PR,JOAQUIM DA S MAFRA C E PREF E FUN MED,public,507.62,459.79,473.99,479.51,480.23,147
PR,JOAQUIM DE O FRANCO C E E FUND MEDIO,PUBLICA,60,481.44,531.47,506.5,507.8,576.34,506.8,42,TRUE,41135334,PR,JOAQUIM DE O FRANCO C E E FUND MEDIO,public,531.47,481.44,507.8,506.5,506.8,143
PR,JOAQUIM M M ASSIS C E E FUND MEDIO,PUBLICA,53,440.06,474.69,456.22,459.34,572.45,457.58,50.3,TRUE,41045939,PR,JOAQUIM M M ASSIS C E E FUND MEDIO,public,474.69,440.06,459.34,456.22,457.58,105
PR,JOAQUIM P OLIVEIRA C E CEL E FUND MEDIO,PUBLICA,21,447.41,480.54,449.9,450.15,553.75,457,36.8,TRUE,41050274,PR,JOAQUIM P OLIVEIRA C E CEL E FUND MEDIO,public,480.54,447.41,450.15,449.9,457,57
PR,JORGE ANDRIGUETTO C E DES E F M P N,PUBLICA,92,477.28,522.44,498.57,511.17,578.09,502.36,40.4,TRUE,41134605,PR,JORGE ANDRIGUETTO C E DES E F M P N,public,522.44,477.28,511.17,498.57,502.36,228
PR,JORGE Q NETTO C E E FUND MEDIO PROF,PUBLICA,74,457.35,521.71,468.31,490.46,570.22,484.46,32.3,TRUE,41058810,PR,JORGE Q NETTO C E E FUND MEDIO PROF,public,521.71,457.35,490.46,468.31,484.46,229
PR,JORGE SCHIMMELPFENG C E E FUND MEDIO,PUBLICA,78,461.75,523.63,475.88,490.71,562.68,487.99,56.9,TRUE,41076540,PR,JORGE SCHIMMELPFENG C E E FUND MEDIO,public,523.63,461.75,490.71,475.88,487.99,137
PR,JOSE A ARAGAO C E PROF E FUND MED PROF,PUBLICA,126,516.91,572.98,565.35,554.76,606.04,552.5,73.3,TRUE,41031520,PR,JOSE A ARAGAO C E PROF E FUND MED PROF,public,572.98,516.91,554.76,565.35,552.5,172
PR,JOSE A B ORSO C E E FUND MEDIO,PUBLICA,38,471.43,519.48,477.21,483.63,477.78,487.94,38,TRUE,41071590,PR,JOSE A B ORSO C E E FUND MEDIO,public,519.48,471.43,483.63,477.21,487.94,100
PR,JOSE A DE ALMEIDA C E E F M PROF NOR,PUBLICA,66,460.01,500.2,459.89,482.63,590,475.68,33.7,TRUE,41006836,PR,JOSE A DE ALMEIDA C E E F M PROF NOR,public,500.2,460.01,482.63,459.89,475.68,196
PR,JOSE ALVES DOS SANTOS C R E ENS F M,PUBLICA,14,481.71,518.69,456.04,465.2,611.54,480.41,46.7,TRUE,41355342,PR,JOSE ALVES DOS SANTOS C R E ENS F M,public,518.69,481.71,465.2,456.04,480.41,30
PR,JOSE ARMIM MATTE C E E F MED NOR PROF,PUBLICA,105,470.8,522.64,493.25,485.82,552.32,493.12,56.1,TRUE,41091221,PR,JOSE ARMIM MATTE C E E F MED NOR PROF,public,522.64,470.8,485.82,493.25,493.12,187
PR,JOSE BALAN C E VER E FUND MEDIO PROF,PUBLICA,16,476.51,521.04,489.04,522.26,550,502.21,21.3,TRUE,41008170,PR,JOSE BALAN C E VER E FUND MEDIO PROF,public,521.04,476.51,522.26,489.04,502.21,75
PR,JOSE BONIFACIO C E E FUND MEDIO,PUBLICA,28,446.11,490.8,467.07,457.88,587.04,465.46,43.8,TRUE,41070437,PR,JOSE BONIFACIO C E E FUND MEDIO,public,490.8,446.11,457.88,467.07,465.46,64
PR,JOSE BONIFACIO C E E FUND MEDIO,PUBLICA,20,447.3,520.71,471.95,475.18,565,478.78,60.6,TRUE,41069633,PR,JOSE BONIFACIO C E E FUND MEDIO,public,520.71,447.3,475.18,471.95,478.78,33
PR,JOSE BONIFACIO C E E FUND MEDIO PROF,PUBLICA,52,425.27,472.83,453.17,468.15,540.63,454.86,17.5,TRUE,41140788,PR,JOSE BONIFACIO C E E FUND MEDIO PROF,public,472.83,425.27,468.15,453.17,454.86,297
PR,JOSE BUSNARDO C E E FUND MEDIO,PUBLICA,13,493.45,545.51,489,529.88,600,514.46,30.5,TRUE,41130243,PR,JOSE BUSNARDO C E E FUND MEDIO,public,545.51,493.45,529.88,489,514.46,43
PR,JOSE CANALE C E PE E FUND MEDIO,PUBLICA,13,446.84,466.11,446.4,458.12,570.83,454.37,35.1,TRUE,41025717,PR,JOSE CANALE C E PE E FUND MEDIO,public,466.11,446.84,458.12,446.4,454.37,37
PR,JOSE CARLOS PINOTTI C E PROF E F M,PUBLICA,12,478.13,537.18,513.46,512.03,637.5,510.2,16.4,TRUE,41030460,PR,JOSE CARLOS PINOTTI C E PROF E F M,public,537.18,478.13,512.03,513.46,510.2,73
PR,JOSE D DA COSTA C E E MEDIO,PUBLICA,21,483.61,543.84,460.3,498.22,530,496.49,21.9,TRUE,41043758,PR,JOSE D DA COSTA C E E MEDIO,public,543.84,483.61,498.22,460.3,496.49,96
PR,JOSE DE ALENCAR C E E FUND MEDIO,PUBLICA,24,475.43,539.46,487.12,505.28,566.67,501.82,52.2,TRUE,41070062,PR,JOSE DE ALENCAR C E E FUND MEDIO,public,539.46,475.43,505.28,487.12,501.82,46
PR,JOSE DE ALENCAR C E E MEDIO,PUBLICA,67,498.07,536.21,516.17,501.85,577.27,513.08,61.5,TRUE,41087607,PR,JOSE DE ALENCAR C E E MEDIO,public,536.21,498.07,501.85,516.17,513.08,109
PR,JOSE DE ANCHIETA C E E FUND MED,PUBLICA,41,510.93,582.98,524.39,534.24,606.88,538.13,61.2,TRUE,41118154,PR,JOSE DE ANCHIETA C E E FUND MED,public,582.98,510.93,534.24,524.39,538.13,67
PR,JOSE DE ANCHIETA C E E FUND MED NOR PR,PUBLICA,37,447.36,480.48,489.45,467.14,574.32,471.11,30.3,TRUE,41097610,PR,JOSE DE ANCHIETA C E E FUND MED NOR PR,public,480.48,447.36,467.14,489.45,471.11,122
PR,JOSE DE ANCHIETA C E E FUND MEDIO,PUBLICA,13,471.1,487.99,449.22,451.78,550,465.02,19.4,TRUE,41105575,PR,JOSE DE ANCHIETA C E E FUND MEDIO,public,487.99,471.1,451.78,449.22,465.02,67
PR,JOSE DE ANCHIETA C E E FUND MEDIO,PUBLICA,50,454.96,514.57,454.97,469.31,551.06,473.45,64.1,TRUE,41074106,PR,JOSE DE ANCHIETA C E E FUND MEDIO,public,514.57,454.96,469.31,454.97,473.45,78
PR,JOSE DE ANCHIETA C E E FUND MEDIO,PUBLICA,45,479.75,515.42,500.83,478.51,605.81,493.63,58.4,TRUE,41081366,PR,JOSE DE ANCHIETA C E E FUND MEDIO,public,515.42,479.75,478.51,500.83,493.63,77
PR,JOSE DE ANCHIETA C E E FUND MEDIO,PUBLICA,24,465.56,531.88,498.56,486.77,608.33,495.69,52.2,TRUE,41084721,PR,JOSE DE ANCHIETA C E E FUND MEDIO,public,531.88,465.56,486.77,498.56,495.69,46
PR,JOSE DE ANCHIETA C E E FUND MEDIO,PUBLICA,17,467.42,527.16,475,513.36,523.53,495.73,30,TRUE,41031547,PR,JOSE DE ANCHIETA C E E FUND MEDIO,public,527.16,467.42,513.36,475,495.73,57
PR,JOSE DE ANCHIETA C E E MEDIO,PUBLICA,66,458.32,518.93,476.57,486.27,584.23,485.02,53.3,TRUE,41034309,PR,JOSE DE ANCHIETA C E E MEDIO,public,518.93,458.32,486.27,476.57,485.02,124
PR,JOSE DE ANCHIETA C E ENS FUND MED,PUBLICA,11,438.16,489.6,434.55,450.69,517.5,453.25,52.4,TRUE,41002261,PR,JOSE DE ANCHIETA C E ENS FUND MED,public,489.6,438.16,450.69,434.55,453.25,21
PR,JOSE DE ANCHIETA C E PE E FUN MED NOR,PUBLICA,72,482.94,528.31,504.74,488.23,569.93,501.05,67.3,TRUE,41089944,PR,JOSE DE ANCHIETA C E PE E FUN MED NOR,public,528.31,482.94,488.23,504.74,501.05,107
PR,JOSE DE ANCHIETA C E PE E FUND MEDIO,PUBLICA,30,455.99,499.72,476.43,488.77,572.32,480.23,32.6,TRUE,41025806,PR,JOSE DE ANCHIETA C E PE E FUND MEDIO,public,499.72,455.99,488.77,476.43,480.23,92
PR,JOSE ELIAS C E E FUND MEDIO,PUBLICA,22,413.73,465.43,451.28,429.24,504.17,439.92,46.8,TRUE,41136799,PR,JOSE ELIAS C E E FUND MEDIO,public,465.43,413.73,429.24,451.28,439.92,47
PR,JOSE ELIAS DA ROCHA C E E FUND MEDIO,PUBLICA,15,484.5,501.14,456.43,481.67,573.08,480.94,51.7,TRUE,41062833,PR,JOSE ELIAS DA ROCHA C E E FUND MEDIO,public,501.14,484.5,481.67,456.43,480.94,29
PR,JOSE F DE MELLO C E E MEDIO NORMAL,PUBLICA,66,443.22,495.8,453.41,463.72,560.25,464.03,41.8,TRUE,41041739,PR,JOSE F DE MELLO C E E MEDIO NORMAL,public,495.8,443.22,463.72,453.41,464.03,158
PR,JOSE F SALDANHA C E ENG E FUND MEDIO,PUBLICA,21,428.78,490.34,446.13,428.6,546.05,448.46,42,TRUE,41020499,PR,JOSE F SALDANHA C E ENG E FUND MEDIO,public,490.34,428.78,428.6,446.13,448.46,50
PR,JOSE GUIMARAES C E PROF E MEDIO PROF,PUBLICA,195,481.36,527.63,509.46,512.9,595.14,507.84,56.2,TRUE,41130308,PR,JOSE GUIMARAES C E PROF E MEDIO PROF,public,527.63,481.36,512.9,509.46,507.84,347
PR,JOSE LUIZ GORI C E E FUND MEDIO PROF,PUBLICA,34,486.01,540.2,485.9,507.57,558.09,504.92,34.3,TRUE,41023080,PR,JOSE LUIZ GORI C E E FUND MEDIO PROF,public,540.2,486.01,507.57,485.9,504.92,99
PR,JOSE MARCONDES SOBRINHO C E E FUND MED,PUBLICA,16,467.06,521.91,461.54,479.74,589.29,482.56,51.6,TRUE,41144929,PR,JOSE MARCONDES SOBRINHO C E E FUND MED,public,521.91,467.06,479.74,461.54,482.56,31
PR,JOSE ORESTES PREIMA C E PE E FUND MEDIO,PUBLICA,25,450,492.11,437.12,438.13,516.25,454.34,45.5,TRUE,41111516,PR,JOSE ORESTES PREIMA C E PE E FUND MEDIO,public,492.11,450,438.13,437.12,454.34,55
PR,JOSE PIOLI C E E FUND MEDIO,PUBLICA,22,470.28,528.99,508.03,476.24,558.33,495.89,24.2,TRUE,41134915,PR,JOSE PIOLI C E E FUND MEDIO,public,528.99,470.28,476.24,508.03,495.89,91
PR,JOSE PIRES C E PE E FUND MEDIO,PUBLICA,98,437.8,474.62,444.74,456.76,531.82,453.48,72.6,TRUE,41019504,PR,JOSE PIRES C E PE E FUND MEDIO,public,474.62,437.8,456.76,444.74,453.48,135
PR,JOSE S ROSAS C E E FUND MEDIO,PUBLICA,45,422.78,481.08,404.13,441.76,558.93,437.44,54.2,TRUE,41039920,PR,JOSE S ROSAS C E E FUND MEDIO,public,481.08,422.78,441.76,404.13,437.44,83
PR,JOSE SARMENTO FILHO C E E FUND NORM,PUBLICA,10,469.33,518.03,491.34,484.25,700,490.74,21.7,TRUE,41016980,PR,JOSE SARMENTO FILHO C E E FUND NORM,public,518.03,469.33,484.25,491.34,490.74,46
PR,JULIA CAVASSIN C E E FUND MEDIO,PUBLICA,14,464.77,523.76,466.81,498.59,557.69,488.48,30.4,TRUE,41126173,PR,JULIA CAVASSIN C E E FUND MEDIO,public,523.76,464.77,498.59,466.81,488.48,46
PR,JULIA H DE SOUZA C E PROFA E F M PROF,PUBLICA,17,466.65,486.69,434.02,474.33,520.31,465.42,32.7,TRUE,41096347,PR,JULIA H DE SOUZA C E PROFA E F M PROF,public,486.69,466.65,474.33,434.02,465.42,52
PR,JULIA WANDERLEY C E E FUND MEDIO,PUBLICA,13,443.35,468.72,436.26,436.33,500,446.17,31,TRUE,41021827,PR,JULIA WANDERLEY C E E FUND MEDIO,public,468.72,443.35,436.33,436.26,446.17,42
PR,JULIA WANDERLEY C E E FUND MEDIO,PUBLICA,13,520.69,555.48,480.85,505.25,631.25,515.57,19.4,TRUE,41050134,PR,JULIA WANDERLEY C E E FUND MEDIO,public,555.48,520.69,505.25,480.85,515.57,67
PR,JULIA WANDERLEY C E E FUND MEDIO PROF,PUBLICA,21,473.31,518.74,467.09,517.03,606.25,494.04,28.4,TRUE,41060296,PR,JULIA WANDERLEY C E E FUND MEDIO PROF,public,518.74,473.31,517.03,467.09,494.04,74
PR,JULIA WANDERLEY C E E FUND MEDIO PROF,PUBLICA,46,507.06,549.85,558.28,534.58,575.56,537.44,67.3,TRUE,41130340,PR,JULIA WANDERLEY C E E FUND MEDIO PROF,public,549.85,507.06,534.58,558.28,537.44,68
PR,JULIA WANDERLEY C E PROF E FUND MEDIO,PUBLICA,27,462.25,503.28,470.34,475.89,560.42,477.94,28.6,TRUE,41071654,PR,JULIA WANDERLEY C E PROF E FUND MEDIO,public,503.28,462.25,475.89,470.34,477.94,94
PR,JULIO CESAR C E PROF ENS FUND MED NOR,PUBLICA,45,495.57,540.68,503.41,509.53,595.35,512.3,30.6,TRUE,41114442,PR,JULIO CESAR C E PROF ENS FUND MED NOR,public,540.68,495.57,509.53,503.41,512.3,147
PR,JULIO GIONGO C E E FUND MEDIO NORMAL,PUBLICA,72,479.75,533.81,487.44,486.72,590,496.93,59.5,TRUE,41081943,PR,JULIO GIONGO C E E FUND MEDIO NORMAL,public,533.81,479.75,486.72,487.44,496.93,121
PR,JULIO MESQUITA C E PROF E F M PROF,PUBLICA,49,505.73,531.64,547.73,530.07,610.2,528.79,56.7,TRUE,41130359,PR,JULIO MESQUITA C E PROF E F M PROF,public,531.64,505.73,530.07,547.73,528.79,86
PR,JULIO MOREIRA C E PROF E FUND MED,PUBLICA,15,480.99,541.91,535.96,511.41,600,517.57,37.5,TRUE,41104358,PR,JULIO MOREIRA C E PROF E FUND MED,public,541.91,480.99,511.41,535.96,517.57,40
PR,JULIO NERONE C E E FUND MEDIO,PUBLICA,37,466.44,530.35,479.47,498.99,618.75,493.81,44,TRUE,41361679,PR,JULIO NERONE C E E FUND MEDIO,public,530.35,466.44,498.99,479.47,493.81,84
PR,JULIO SZYMANSKI C E PROF E MED PROF N,PUBLICA,179,483.32,531.11,495.58,512.7,591.67,505.68,33.1,TRUE,41123662,PR,JULIO SZYMANSKI C E PROF E MED PROF N,public,531.11,483.32,512.7,495.58,505.68,541
PR,JULIO TEODORICO C E PROF E FUND MED PRO,PUBLICA,41,491.78,553.81,516.61,533.81,547.56,524,29.7,TRUE,41062892,PR,JULIO TEODORICO C E PROF E FUND MED PRO,public,553.81,491.78,533.81,516.61,524,138
PR,JUSCELINO K DE OLIVEIRA C E DR E F M,PUBLICA,23,462.17,514.7,475.48,470.58,631.52,480.73,51.1,TRUE,41121902,PR,JUSCELINO K DE OLIVEIRA C E DR E F M,public,514.7,462.17,470.58,475.48,480.73,45
PR,JUSCELINO K OLIVEIRA C E E FUND MED PROF,PUBLICA,26,493.85,561.47,511.58,526.95,620,523.46,37.7,TRUE,41024192,PR,JUSCELINO K OLIVEIRA C E E FUND MED PROF,public,561.47,493.85,526.95,511.58,523.46,69
PR,JUSCELINO K OLIVEIRA C E E FUND MEDIO,PUBLICA,97,472.84,514.52,502.75,499.92,580.38,497.51,49.7,TRUE,41137930,PR,JUSCELINO K OLIVEIRA C E E FUND MEDIO,public,514.52,472.84,499.92,502.75,497.51,195
PR,JUVENTUDE DE SANTO ANTONIO C E E F M,PUBLICA,19,474.82,486.33,512.84,494.86,600,492.21,43.2,TRUE,41124014,PR,JUVENTUDE DE SANTO ANTONIO C E E F M,public,486.33,474.82,494.86,512.84,492.21,44
PR,KENNEDY C E PRES E FUND MEDIO,PUBLICA,18,442.27,479.06,421.91,438.38,568.33,445.4,40,TRUE,41037766,PR,KENNEDY C E PRES E FUND MEDIO,public,479.06,442.27,438.38,421.91,445.4,45
PR,KENNEDY C E PRES E FUND MEDIO,PUBLICA,49,462.23,515.41,471.43,479.23,553.13,482.08,29.5,TRUE,41033612,PR,KENNEDY C E PRES E FUND MEDIO,public,515.41,462.23,479.23,471.43,482.08,166
PR,KENNEDY C E PRES E FUND MEDIO,PUBLICA,27,475.4,526.27,484.06,501.45,619.79,496.8,27.3,TRUE,41024206,PR,KENNEDY C E PRES E FUND MEDIO,public,526.27,475.4,501.45,484.06,496.8,99
PR,KENNEDY C E PRES E FUND MEDIO,PUBLICA,13,505.57,550.32,529.65,527.77,571.15,528.33,86.7,TRUE,41077776,PR,KENNEDY C E PRES E FUND MEDIO,public,550.32,505.57,527.77,529.65,528.33,15
PR,KENNEDY C E PRES E FUND MEDIO PROF,PUBLICA,45,484.36,536.62,505.38,506.23,558.14,508.15,36.3,TRUE,41062914,PR,KENNEDY C E PRES E FUND MEDIO PROF,public,536.62,484.36,506.23,505.38,508.15,124
PR,KENNEDY COL CENEC PRES-E I E F-M-PROF E NORMAL,PRIVADA,27,589.64,634.89,627.4,605.97,649.07,614.47,90,TRUE,41125240,PR,KENNEDY COL CENEC PRES-E I E F-M-PROF E NORMAL,private,634.89,589.64,605.97,627.4,614.47,30
PR,LA SALLE C E E FUND MED,PUBLICA,179,468.61,523.97,498.21,502.79,549.56,498.4,60.5,TRUE,41130405,PR,LA SALLE C E E FUND MED,public,523.97,468.61,502.79,498.21,498.4,296
PR,LA SALLE C E E FUND MEDIO,PUBLICA,78,507.77,552.71,539.46,519.83,621,529.94,75.7,TRUE,41093437,PR,LA SALLE C E E FUND MEDIO,public,552.71,507.77,519.83,539.46,529.94,103
PR,LA SALLE C ED INF ENS FUND MEDIO,PRIVADA,17,593.66,632.71,625.46,593.15,657.35,611.25,81,TRUE,41068785,PR,LA SALLE C ED INF ENS FUND MEDIO,private,632.71,593.66,593.15,625.46,611.25,21
PR,LAGOA C E DE E FUND MEDIO,PUBLICA,16,495.28,553.98,507.79,514.83,540.63,517.97,25.8,TRUE,41143132,PR,LAGOA C E DE E FUND MEDIO,public,553.98,495.28,514.83,507.79,517.97,62
PR,LAMENHA LINS C E PRES ENS MED PROF,PUBLICA,134,495.59,540.31,515.22,539.14,575.78,522.57,39.8,TRUE,41130421,PR,LAMENHA LINS C E PRES ENS MED PROF,public,540.31,495.59,539.14,515.22,522.57,337
PR,LARANJAL C E DE E FUND MEDIO,PUBLICA,15,441.03,477.27,413.32,444.75,548.33,444.09,31.9,TRUE,41094921,PR,LARANJAL C E DE E FUND MEDIO,public,477.27,441.03,444.75,413.32,444.09,47
PR,LEAO SCHULMANN C E E FUND MED,PUBLICA,20,486.25,520.53,499.07,511.99,622.5,504.46,95.2,TRUE,41049403,PR,LEAO SCHULMANN C E E FUND MED,public,520.53,486.25,511.99,499.07,504.46,21
PR,LENI MARLENE JACOB C E PROFA E FUND MED,PUBLICA,25,463.97,514.63,431.07,480.06,550,472.43,42.4,TRUE,41100689,PR,LENI MARLENE JACOB C E PROFA E FUND MED,public,514.63,463.97,480.06,431.07,472.43,59
PR,LEOCADIA B RAMOS C E E FUND MED PROF,PUBLICA,45,477.44,524.82,489.37,493.87,569.77,496.37,21.8,TRUE,41135784,PR,LEOCADIA B RAMOS C E E FUND MED PROF,public,524.82,477.44,493.87,489.37,496.37,206
PR,LEONARDO DA VINCI C E E FU MED NOR PR,PUBLICA,120,495.22,539.41,527.75,510.58,586.54,518.24,49,TRUE,41084772,PR,LEONARDO DA VINCI C E E FU MED NOR PR,public,539.41,495.22,510.58,527.75,518.24,245
PR,LEONARDO F NOGUEIRA C E E MED NOR PRO,PUBLICA,27,439.85,474.94,469,477.95,579.17,465.44,18.4,TRUE,41050410,PR,LEONARDO F NOGUEIRA C E E MED NOR PRO,public,474.94,439.85,477.95,469,465.44,147
PR,LEONCIO CORREIA C E E F MEDIO E PROF,PUBLICA,141,502.7,556.54,530.08,546.98,553.76,534.08,42.9,TRUE,41130499,PR,LEONCIO CORREIA C E E F MEDIO E PROF,public,556.54,502.7,546.98,530.08,534.08,329
PR,LEONEL FRANCA C E E FUND MEDIO,PUBLICA,32,438.16,482.94,440.82,465.94,535.19,456.97,55.2,TRUE,41002296,PR,LEONEL FRANCA C E E FUND MEDIO,public,482.94,438.16,465.94,440.82,456.97,58
PR,LEONIDIA PACHECO C E PROFA E FUND MED,PUBLICA,22,476.16,504.59,464.12,484.97,580.26,482.46,31.4,TRUE,41006542,PR,LEONIDIA PACHECO C E PROFA E FUND MED,public,504.59,476.16,484.97,464.12,482.46,70
PR,LEONILDA PAPEN C E E FUND MEDIO,PUBLICA,42,498.04,537.54,503.63,498.51,582.74,509.43,63.6,TRUE,41066073,PR,LEONILDA PAPEN C E E FUND MEDIO,public,537.54,498.04,498.51,503.63,509.43,66
PR,LEOPOLDINA B PEDROSO C E PROFA E F M,PUBLICA,35,478.81,525.9,488.92,507.18,548.57,500.2,47.3,TRUE,41056957,PR,LEOPOLDINA B PEDROSO C E PROFA E F M,public,525.9,478.81,507.18,488.92,500.2,74
PR,LIANE MARTA DA COSTA C E E FUND MEDIO,PUBLICA,17,455.93,539.24,486.05,502.89,575,496.03,25,TRUE,41100719,PR,LIANE MARTA DA COSTA C E E FUND MEDIO,public,539.24,455.93,502.89,486.05,496.03,68
PR,LINCOLN S COIMBRA C E E FUND MEDIO,PUBLICA,34,459.92,492.43,453.39,480.48,569.85,471.56,45.3,TRUE,41123689,PR,LINCOLN S COIMBRA C E E FUND MEDIO,public,492.43,459.92,480.48,453.39,471.56,75
PR,LINDA S BACILA C E PROFA E FUND MED,PUBLICA,32,456.75,495.5,474.47,482.87,537.5,477.4,43.8,TRUE,41062949,PR,LINDA S BACILA C E PROFA E FUND MED,public,495.5,456.75,482.87,474.47,477.4,73
PR,LINDAURA R LUCAS C E PROF E FUND MEDIO,PUBLICA,40,508.18,569.86,527.07,532.57,567.31,534.42,37,TRUE,41137515,PR,LINDAURA R LUCAS C E PROF E FUND MEDIO,public,569.86,508.18,532.57,527.07,534.42,108
PR,LINDOESTE C E E FUND MEDIO,PUBLICA,21,460.91,499.6,464.07,473.47,528.95,474.51,33.3,TRUE,41074360,PR,LINDOESTE C E E FUND MEDIO,public,499.6,460.91,473.47,464.07,474.51,63
PR,LIRIA MICHELETO NICHELE C E E F MEDIO,PUBLICA,18,477.97,524.35,444.55,506.7,541.18,488.39,36.7,TRUE,41387260,PR,LIRIA MICHELETO NICHELE C E E F MEDIO,public,524.35,477.97,506.7,444.55,488.39,49
PR,LOANDA C E MEDIO,PRIVADA,17,510.62,552.67,556.09,515.37,589.71,533.69,60.7,TRUE,41380649,PR,LOANDA C E MEDIO,private,552.67,510.62,515.37,556.09,533.69,28
PR,LOURDES A MELO C E E FUND MEDIO,PUBLICA,19,485.78,526.09,487.41,484.71,590.28,496,25,TRUE,41019989,PR,LOURDES A MELO C E E FUND MEDIO,public,526.09,485.78,484.71,487.41,496,76
PR,LOUREIRO FERNANDES C E PROF E F MED PRO,PUBLICA,58,498.87,541.45,528.54,521.68,589.35,522.63,42,TRUE,41130618,PR,LOUREIRO FERNANDES C E PROF E F MED PRO,public,541.45,498.87,521.68,528.54,522.63,138
PR,LUCIA B LISBOA C E PROFA E FUND MED,PUBLICA,24,482.1,546.62,505.37,517.5,556.25,512.9,19.5,TRUE,41031750,PR,LUCIA B LISBOA C E PROFA E FUND MED,public,546.62,482.1,517.5,505.37,512.9,123
PR,LUCY REQUIAO M E SILVA C E E F M,PUBLICA,24,460.74,513.1,469.79,494.05,560.87,484.42,35.3,TRUE,41387180,PR,LUCY REQUIAO M E SILVA C E E F M,public,513.1,460.74,494.05,469.79,484.42,68
PR,LUDOVICA SAFRAIDER C E E FUND MEDIO,PUBLICA,34,500.74,530.36,498.33,509.74,604.41,509.79,91.6,TRUE,41106385,PR,LUDOVICA SAFRAIDER C E E FUND MEDIO,public,530.36,500.74,509.74,498.33,509.79,37
PR,LUIZ AUGUSTO M REGO C E E F M PROFIS,PUBLICA,34,504.44,556.03,530.95,517.34,637.5,527.19,43.6,TRUE,41068807,PR,LUIZ AUGUSTO M REGO C E E F M PROFIS,public,556.03,504.44,517.34,530.95,527.19,78
PR,LUIZ CARLOS DE P E SOUZA C E P EF MPR,PUBLICA,22,441.94,503.12,460.78,475.12,544.74,470.24,19.6,TRUE,41130669,PR,LUIZ CARLOS DE P E SOUZA C E P EF MPR,public,503.12,441.94,475.12,460.78,470.24,112
PR,LUIZ J DOS SANTOS C E CEL E FUND MED,PUBLICA,20,490.65,540.83,490.81,480.43,521.25,500.68,50,TRUE,41025865,PR,LUIZ J DOS SANTOS C E CEL E FUND MED,public,540.83,490.65,480.43,490.81,500.68,40
PR,LUIZ SEBASTIAO BALDO C E E FUND MED,PUBLICA,43,473.98,536.62,471.45,501.94,548.72,496,38.4,TRUE,41143787,PR,LUIZ SEBASTIAO BALDO C E E FUND MED,public,536.62,473.98,501.94,471.45,496,112
PR,LUIZ SETTI C E E FUND MEDIO PROF,PUBLICA,29,445.1,512.67,467.28,475.9,569.64,475.24,23.4,TRUE,41047206,PR,LUIZ SETTI C E E FUND MEDIO PROF,public,512.67,445.1,475.9,467.28,475.24,124
PR,LUIZA ROSS C E PROFA E FUND MEDIO,PUBLICA,32,469.82,528.23,510.83,517.82,532.76,506.67,45.7,TRUE,41130685,PR,LUIZA ROSS C E PROFA E FUND MEDIO,public,528.23,469.82,517.82,510.83,506.67,70
PR,LYSIMACO F COSTA C E PROF E FUND MEDIO,PUBLICA,132,494.42,548.8,510.87,540.47,595.44,523.64,65.7,TRUE,41130723,PR,LYSIMACO F COSTA C E PROF E FUND MEDIO,public,548.8,494.42,540.47,510.87,523.64,201
PR,LYSIMACO F DA COSTA C E E FUND MEDIO,PUBLICA,16,455.23,523.03,476.81,482.54,604.69,484.4,42.1,TRUE,41001893,PR,LYSIMACO F DA COSTA C E E FUND MEDIO,public,523.03,455.23,482.54,476.81,484.4,38
PR,MACEDO SOARES C E E FUND MEDIO,PUBLICA,80,480,519.56,492.35,508.05,601.03,499.99,62,TRUE,41125304,PR,MACEDO SOARES C E E FUND MEDIO,public,519.56,480,508.05,492.35,499.99,129
PR,MACHADO DE A BARBOSA FERRAZ C E E F M P,PUBLICA,63,452.07,504.67,466.63,479.78,571.25,475.79,48.8,TRUE,41014880,PR,MACHADO DE A BARBOSA FERRAZ C E E F M P,public,504.67,452.07,479.78,466.63,475.79,129
PR,MACHADO DE ASSIS C E E FUND MED PROF,PUBLICA,90,469.47,523.42,484.58,476.53,588.37,488.5,48.2,TRUE,41074653,PR,MACHADO DE ASSIS C E E FUND MED PROF,public,523.42,469.47,476.53,484.58,488.5,187
PR,MACHADO DE ASSIS C E E FUND MEDIO,PUBLICA,21,458.54,518.95,483.7,468.35,576.19,482.38,48.8,TRUE,41020251,PR,MACHADO DE ASSIS C E E FUND MEDIO,public,518.95,458.54,468.35,483.7,482.38,43
PR,MACHADO DE ASSIS C E E FUND MEDIO,PUBLICA,12,490.23,509.45,527.24,502.96,593.75,507.47,46.2,TRUE,41031806,PR,MACHADO DE ASSIS C E E FUND MEDIO,public,509.45,490.23,502.96,527.24,507.47,26
